Landcover,County,Change,Hectares
Agriculture,Beaufort,GAIN,214
Forested Upland,Beaufort,GAIN,1157
Forested Wetland,Beaufort,GAIN,737
High Intensity Developed,Beaufort,GAIN,987
Low Intensity Developed,Beaufort,GAIN,2812
Marsh,Beaufort,GAIN,1016
Water,Beaufort,GAIN,487
Agriculture,Berkeley,GAIN,261
Forested Upland,Berkeley,GAIN,681
Forested Wetland,Berkeley,GAIN,1058
High Intensity Developed,Berkeley,GAIN,1469
Low Intensity Developed,Berkeley,GAIN,2607
Marsh,Berkeley,GAIN,1664
Water,Berkeley,GAIN,1334
Agriculture,Charleston,GAIN,126
Forested Upland,Charleston,GAIN,1947
Forested Wetland,Charleston,GAIN,1599
High Intensity Developed,Charleston,GAIN,1929
Low Intensity Developed,Charleston,GAIN,2686
Marsh,Charleston,GAIN,1094
Water,Charleston,GAIN,873
Agriculture,Colleton,GAIN,372
Forested Upland,Colleton,GAIN,1976
Forested Wetland,Colleton,GAIN,2347
High Intensity Developed,Colleton,GAIN,98
Low Intensity Developed,Colleton,GAIN,134
Marsh,Colleton,GAIN,2551
Water,Colleton,GAIN,2067
Agriculture,Dorchester,GAIN,280
Forested Upland,Dorchester,GAIN,713
Forested Wetland,Dorchester,GAIN,619
High Intensity Developed,Dorchester,GAIN,752
Low Intensity Developed,Dorchester,GAIN,1517
Marsh,Dorchester,GAIN,558
Water,Dorchester,GAIN,721
Agriculture,Georgetown,GAIN,113
Forested Upland,Georgetown,GAIN,439
Forested Wetland,Georgetown,GAIN,1993
High Intensity Developed,Georgetown,GAIN,331
Low Intensity Developed,Georgetown,GAIN,803
Marsh,Georgetown,GAIN,1474
Water,Georgetown,GAIN,1235
Agriculture,Horry,GAIN,724
Forested Upland,Horry,GAIN,948
Forested Wetland,Horry,GAIN,1850
High Intensity Developed,Horry,GAIN,2923
Low Intensity Developed,Horry,GAIN,6620
Marsh,Horry,GAIN,1779
Water,Horry,GAIN,2144
Agriculture,Jasper,GAIN,504
Forested Upland,Jasper,GAIN,816
Forested Wetland,Jasper,GAIN,2832
High Intensity Developed,Jasper,GAIN,361
Low Intensity Developed,Jasper,GAIN,867
Marsh,Jasper,GAIN,1366
Water,Jasper,GAIN,583
Agriculture,Beaufort,LOST,-727
Forested Upland,Beaufort,LOST,-3211
Forested Wetland,Beaufort,LOST,-969
Low Intensity Developed,Beaufort,LOST,-227
Marsh,Beaufort,LOST,-809
Water,Beaufort,LOST,-1467
Agriculture,Berkeley,LOST,-1289
Forested Upland,Berkeley,LOST,-3272
Forested Wetland,Berkeley,LOST,-2379
Low Intensity Developed,Berkeley,LOST,-326
Marsh,Berkeley,LOST,-1413
Water,Berkeley,LOST,-395
Agriculture,Charleston,LOST,-2230
Forested Upland,Charleston,LOST,-2649
Forested Wetland,Charleston,LOST,-1914
Low Intensity Developed,Charleston,LOST,-823
Marsh,Charleston,LOST,-2096
Water,Charleston,LOST,-542
Agriculture,Colleton,LOST,-2036
Forested Upland,Colleton,LOST,-664
Forested Wetland,Colleton,LOST,-3272
Low Intensity Developed,Colleton,LOST,-40
Marsh,Colleton,LOST,-3237
Water,Colleton,LOST,-296
Agriculture,Dorchester,LOST,-981
Forested Upland,Dorchester,LOST,-1869
Forested Wetland,Dorchester,LOST,-1400
Low Intensity Developed,Dorchester,LOST,-182
Marsh,Dorchester,LOST,-684
Water,Dorchester,LOST,-44
Agriculture,Georgetown,LOST,-509
Forested Upland,Georgetown,LOST,-1034
Forested Wetland,Georgetown,LOST,-2003
Low Intensity Developed,Georgetown,LOST,-170
Marsh,Georgetown,LOST,-2340
Water,Georgetown,LOST,-332
Agriculture,Horry,LOST,-1832
Forested Upland,Horry,LOST,-7080
Forested Wetland,Horry,LOST,-4741
Low Intensity Developed,Horry,LOST,-1059
Marsh,Horry,LOST,-2009
Water,Horry,LOST,-267
Agriculture,Jasper,LOST,-868
Forested Upland,Jasper,LOST,-1647
Forested Wetland,Jasper,LOST,-1349
Low Intensity Developed,Jasper,LOST,-25
Marsh,Jasper,LOST,-2901
Water,Jasper,LOST,-539