COUNTY,CENSUS_YEAR,POPULATION,TOTAL_AREA,POP_DENS
Beaufort,2000,122306,160327,0.762853418
Beaufort,2001,125550,160327,0.783087066
Beaufort,2002,129290,160327,0.806414391
Beaufort,2003,130998,160327,0.817067618
Beaufort,2004,136331,160327,0.850330886
Beaufort,2005,141498,160327,0.882558771
Beaufort,2006,147213,160327,0.918204669
Beaufort,2007,151411,160327,0.944388656
Beaufort,2008,156399,160327,0.975500072
Beaufort,2009,159737,160327,0.996320021
Beaufort,2010,162846,160327,1.015711639
Beaufort,2011,164029,160327,1.023090309
Beaufort,2012,167409,160327,1.044172223
Beaufort,2013,170968,160327,1.066370605
Beaufort,2014,175042,160327,1.091781172
Beaufort,2015,179825,160327,1.121613951
Beaufort,2016,183217,160327,1.142770712
Beaufort,2017,186492,160327,1.163197715
Beaufort,2018,188715,160327,1.177063127
Berkeley,2000,143410,316177,0.453575054
Berkeley,2001,145153,316177,0.459087789
Berkeley,2002,146733,316177,0.46408499
Berkeley,2003,148035,316177,0.468202937
Berkeley,2004,151789,316177,0.480076033
Berkeley,2005,153489,316177,0.485452769
Berkeley,2006,159501,316177,0.504467434
Berkeley,2007,164913,316177,0.521584429
Berkeley,2008,171099,316177,0.541149419
Berkeley,2009,175092,316177,0.553778422
Berkeley,2010,179420,316177,0.567466957
Berkeley,2011,183692,316177,0.580978376
Berkeley,2012,189535,316177,0.599458531
Berkeley,2013,193971,316177,0.613488647
Berkeley,2014,198232,316177,0.626965276
Berkeley,2015,203035,316177,0.642156134
Berkeley,2016,208498,316177,0.659434431
Berkeley,2017,214470,316177,0.678322585
Berkeley,2018,221091,316177,0.699263387
Charleston,2000,310749,252632,1.230046075
Charleston,2001,313065,252632,1.23921356
Charleston,2002,317379,252632,1.256289781
Charleston,2003,321222,252632,1.271501631
Charleston,2004,328105,252632,1.298746794
Charleston,2005,331589,252632,1.312537604
Charleston,2006,334826,252632,1.325350708
Charleston,2007,337147,252632,1.334537984
Charleston,2008,341921,252632,1.353435036
Charleston,2009,346795,252632,1.37272792
Charleston,2010,350963,252632,1.389226226
Charleston,2011,357315,252632,1.414369518
Charleston,2012,364628,252632,1.443316761
Charleston,2013,371724,252632,1.471405048
Charleston,2014,379814,252632,1.503427911
Charleston,2015,389299,252632,1.54097264
Charleston,2016,396785,252632,1.570604674
Charleston,2017,401738,252632,1.590210266
Charleston,2018,405905,252632,1.606704614
Colleton,2000,38304,278131,0.137719276
Colleton,2001,38339,278131,0.137845116
Colleton,2002,38463,278131,0.138290949
Colleton,2003,38543,278131,0.138578583
Colleton,2004,38672,278131,0.139042394
Colleton,2005,38728,278131,0.139243738
Colleton,2006,38608,278131,0.138812286
Colleton,2007,38765,278131,0.139376769
Colleton,2008,39014,278131,0.14027203
Colleton,2009,38864,278131,0.139732716
Colleton,2010,38896,278131,0.13984777
Colleton,2011,38454,278131,0.13825859
Colleton,2012,38116,278131,0.137043336
Colleton,2013,37678,278131,0.135468538
Colleton,2014,37540,278131,0.134972369
Colleton,2015,37452,278131,0.134655971
Colleton,2016,37596,278131,0.135173713
Colleton,2017,37594,278131,0.135166522
Colleton,2018,37660,278131,0.135403821
Dorchester,2000,96757,149023,0.649275615
Dorchester,2001,98683,149023,0.662199795
Dorchester,2002,101067,149023,0.678197325
Dorchester,2003,104119,149023,0.698677385
Dorchester,2004,107337,149023,0.720271368
Dorchester,2005,113235,149023,0.759849151
Dorchester,2006,120136,149023,0.806157439
Dorchester,2007,126324,149023,0.84768123
Dorchester,2008,130593,149023,0.876327815
Dorchester,2009,133560,149023,0.896237494
Dorchester,2010,137057,149023,0.91970367
Dorchester,2011,140167,149023,0.940572932
Dorchester,2012,142632,149023,0.957114003
Dorchester,2013,145571,149023,0.97683579
Dorchester,2014,148791,149023,0.998443193
Dorchester,2015,152854,149023,1.025707441
Dorchester,2016,156199,149023,1.048153641
Dorchester,2017,158881,149023,1.066150863
Dorchester,2018,160647,149023,1.078001382
Georgetown,2000,56080,219163,0.255882608
Georgetown,2001,56800,219163,0.259167834
Georgetown,2002,57688,219163,0.263219613
Georgetown,2003,58387,219163,0.26640902
Georgetown,2004,59176,219163,0.27000908
Georgetown,2005,59521,219163,0.271583251
Georgetown,2006,59821,219163,0.272952095
Georgetown,2007,60277,219163,0.275032738
Georgetown,2008,60621,219163,0.276602346
Georgetown,2009,60369,219163,0.275452517
Georgetown,2010,60347,219163,0.275352135
Georgetown,2011,60188,219163,0.274626648
Georgetown,2012,60258,219163,0.274946045
Georgetown,2013,60501,219163,0.276054809
Georgetown,2014,60850,219163,0.277647231
Georgetown,2015,61483,219163,0.280535492
Georgetown,2016,61604,219163,0.281087592
Georgetown,2017,61841,219163,0.282168979
Georgetown,2018,62249,219163,0.284030607
Horry,2000,198019,296290,0.668328327
Horry,2001,201982,296290,0.681703736
Horry,2002,206566,296290,0.697175065
Horry,2003,211725,296290,0.71458706
Horry,2004,219094,296290,0.739457963
Horry,2005,229899,296290,0.775925613
Horry,2006,242194,296290,0.81742212
Horry,2007,252464,296290,0.852084107
Horry,2008,260609,296290,0.879574066
Horry,2009,265640,296290,0.896554052
Horry,2010,270257,296290,0.912136758
Horry,2011,275375,296290,0.929410375
Horry,2012,281217,296290,0.949127544
Horry,2013,288733,296290,0.974494583
Horry,2014,297708,296290,1.004785852
Horry,2015,308956,296290,1.042748658
Horry,2016,321112,296290,1.08377603
Horry,2017,332651,296290,1.122720983
Horry,2018,344147,296290,1.161520807
Jasper,2000,20721,172668,0.120004865
Jasper,2001,21024,172668,0.121759678
Jasper,2002,21102,172668,0.122211411
Jasper,2003,21236,172668,0.122987467
Jasper,2004,21456,172668,0.124261589
Jasper,2005,21845,172668,0.126514467
Jasper,2006,22406,172668,0.129763477
Jasper,2007,22971,172668,0.133035652
Jasper,2008,23620,172668,0.13679431
Jasper,2009,24234,172668,0.140350268
Jasper,2010,24931,172668,0.144386916
Jasper,2011,25278,172668,0.146396553
Jasper,2012,25716,172668,0.148933213
Jasper,2013,26316,172668,0.15240809
Jasper,2014,26675,172668,0.154487224
Jasper,2015,27428,172668,0.158848194
Jasper,2016,28029,172668,0.162328862
Jasper,2017,28398,172668,0.164465911
Jasper,2018,28971,172668,0.167784419
South Carolina,2000,4024223,8008042,0.502522714
South Carolina,2001,4064995,8008042,0.507614096
South Carolina,2002,4107795,8008042,0.512958723
South Carolina,2003,4150297,8008042,0.518266138
South Carolina,2004,4210921,8008042,0.525836528
South Carolina,2005,4270150,8008042,0.533232718
South Carolina,2006,4357847,8008042,0.544183834
South Carolina,2007,4444110,8008042,0.554955881
South Carolina,2008,4528996,8008042,0.565555975
South Carolina,2009,4589872,8008042,0.573157833
South Carolina,2010,4635656,8008042,0.578875086
South Carolina,2011,4671422,8008042,0.583341346
South Carolina,2012,4717112,8008042,0.589046861
South Carolina,2013,4764153,8008042,0.594921081
South Carolina,2014,4823793,8008042,0.602368594
South Carolina,2015,4892253,8008042,0.6109175
South Carolina,2016,4958235,8008042,0.619156967
South Carolina,2017,5021219,8008042,0.627022061
South Carolina,2018,5084127,8008042,0.634877664
SC_COASTAL,2000,986346,1844411,0.5347756
SC_COASTAL,2001,1000596,1844411,0.542501644
SC_COASTAL,2002,1018288,1844411,0.552093866
SC_COASTAL,2003,1034265,1844411,0.560756252
SC_COASTAL,2004,1061960,1844411,0.575771886
SC_COASTAL,2005,1089804,1844411,0.590868304
SC_COASTAL,2006,1124705,1844411,0.609790876
SC_COASTAL,2007,1154272,1844411,0.625821468
SC_COASTAL,2008,1183876,1844411,0.641872121
SC_COASTAL,2009,1204291,1844411,0.652940695
SC_COASTAL,2010,1224717,1844411,0.664015233
SC_COASTAL,2011,1244498,1844411,0.674740066
SC_COASTAL,2012,1269511,1844411,0.688301577
SC_COASTAL,2013,1295462,1844411,0.702371651
SC_COASTAL,2014,1324652,1844411,0.718197842
SC_COASTAL,2015,1360332,1844411,0.737542771
SC_COASTAL,2016,1393040,1844411,0.755276346
SC_COASTAL,2017,1422065,1844411,0.771013077
SC_COASTAL,2018,1449385,1844411,0.785825394